modelo,mae,rmse,mape,r2,tiempo_entrenamiento,tipo,n_trials,best_params,mae_norm,rmse_norm,mape_norm,r2_norm,score_combinado
XGBoost (Test),217.83454665813184,290.08027228610257,0.7246595256498771,0.9942229789698128,0.6431806087493896,tree_based,,,1.0,1.0,1.0,1.0,1.0
CatBoost (Optuna),249.6239348129487,324.5111152568333,0.8441796916230933,0.99,0.5,tree_based_optuna,150.0,"{'iterations': 468, 'depth': 8, 'learning_rate': 0.051080278799007846, 'l2_leaf_reg': 1.2734218709347624, 'bagging_temperature': 0.90353097894739, 'random_strength': 0.033181827930395716}",0.9780774071448296,0.984457401811262,0.9755104684111734,0.9900669939264604,0.9818759351543542
LightGBM (Optuna),257.63700055464045,334.9281007210326,0.8712783244999677,0.99,0.5,tree_based_optuna,150.0,"{'n_estimators': 466, 'max_depth': 12, 'learning_rate': 0.05675152114418038, 'subsample': 0.9725109412712609, 'colsample_bytree': 0.9335404317481355, 'min_child_samples': 11, 'reg_alpha': 0.1970466975744979, 'reg_lambda': 0.03957058976539516, 'num_leaves': 85}",0.9725514380094279,0.9797550185572239,0.9699579926390016,0.9900669939264604,0.977696934283088
LightGBM (Test),259.77885701687387,339.5407703240708,0.8697829031954606,0.9920849908923866,1.057034969329834,tree_based,,,0.9710743712931047,0.9776727904143239,0.9702644025822704,0.994971168762611,0.9776712627812049
CatBoost (Test),264.4023188285147,334.96641904994635,0.8850962792134256,0.992296819033302,0.6091299057006836,tree_based,,,0.9678859402863672,0.9797377210896575,0.9671267111084519,0.9954694166168632,0.9768063239578704
XGBoost (Optuna),261.4034986604625,339.8245482586013,0.8840158899576006,0.99,0.5,tree_based_optuna,150.0,"{'n_estimators': 495, 'max_depth': 7, 'learning_rate': 0.06195310307342658, 'subsample': 0.8606232618736115, 'colsample_bytree': 0.8767778705854186, 'min_child_weight': 7, 'gamma': 0.24461168415632656, 'reg_alpha': 0.27527171042913967, 'reg_lambda': 1.1000416837458742}",0.9699539861785975,0.9775446888045263,0.9673480815072739,0.9900669939264604,0.975732617581684
MLP (Test),271.2072918415603,352.15633864840424,0.9003636557432717,0.991485903279108,25.721556425094604,neural_network,,,0.9631930958683215,0.971977933928981,0.9639984448718575,0.9935620353182308,0.9720634049772083
CNN-LSTM (Test),304.6825863849987,397.01839864000385,1.031485102787173,0.9891544181976673,142.98959946632385,neural_network,,,0.9401078685148183,0.9517265281483779,0.9371318253921467,0.9880780734894214,0.9525922987752724
Random Forest (Optuna),319.46723157210096,415.30740104373126,1.0803761635850557,0.99,0.5,tree_based_optuna,150.0,"{'n_estimators': 453, 'max_depth': 23, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': None}",0.9299120838282268,0.9434705985484072,0.9271141085652699,0.9900669939264604,0.9454510252113363
Random Forest (Test),343.63804907077235,461.9320391627878,1.1435780647913585,0.9853504686739244,0.653662919998169,tree_based,,,0.9132434084696633,0.9224235386028854,0.9141641185492546,0.9791306801936286,0.9293590438703412
LSTM (Test),406.4837012876924,519.8734235538157,1.3531676787653877,0.9814036881446287,173.60599422454834,neural_network,,,0.8699037996807344,0.8962679298989532,0.8712194704196896,0.9698473294479442,0.8980648788474331
Media Móvil (72h),1398.713510185807,1839.1895963430195,4.731783135777235,0.7677688017986202,0.5,baseline,,,0.18564243506114098,0.30070885006469183,0.17894541534908992,0.4673497705531757,0.27516442271820296
Regresión Lineal,1448.7703525423012,1980.1429725655553,4.8052447859196645,0.7308089246615157,2.0,baseline,,,0.15112224331499724,0.23708038497496808,0.16389321568821003,0.3804152424145202,0.22532248010753564
Persistencia 7d,1552.620047011417,2008.28664796065,5.164164222311966,0.7231025466929997,0.1,baseline,,,0.07950543336279625,0.22437590839296617,0.0903510748804166,0.3622888203524053,0.1816923815732931
Persistencia 1d,1667.9088314304902,2505.336856328709,5.605118979915122,0.5690768612137515,0.1,baseline,,,0.0,1.1102230246251565e-16,0.0,0.0,3.3306690738754695e-17
