,count,mean,std,min,25%,50%,75%,max,missing,missing_pct
demanda,23808.0,28372.969775565638,4510.060162701119,17325.916666666668,24662.291666666668,28391.166666666664,31704.375,42126.0,48,0.2
hora_del_dia_sin,23856.0,-1.891325608684036e-17,0.7071216019656478,-1.0,-0.7071067811865472,6.123233995736766e-17,0.7071067811865475,1.0,0,0.0
hora_del_dia_cos,23856.0,-5.551115123125783e-17,0.7071216019656478,-1.0,-0.7071067811865476,-6.123233995736766e-17,0.7071067811865475,1.0,0,0.0
dia_semana_sin,23856.0,-2.1742798336052695e-17,0.7071216019656478,-0.9749279121818236,-0.7818314824680299,0.0,0.7818314824680298,0.9749279121818236,0,0.0
dia_semana_cos,23856.0,-1.8764332810566026e-17,0.7071216019656478,-0.9009688679024191,-0.900968867902419,-0.22252093395631434,0.6234898018587336,1.0,0,0.0
mes_sin,23856.0,0.04710312683670903,0.7114086793963704,-1.0,-0.5000000000000004,1.2246467991473532e-16,0.8660254037844386,1.0,0,0.0
mes_cos,23856.0,-0.07502901239928224,0.6972024272497905,-1.0,-0.8660254037844387,-1.8369701987210297e-16,0.5000000000000001,1.0,0,0.0
hora_del_dia,23856.0,11.5,6.922331639709229,0.0,5.75,11.5,17.25,23.0,0,0.0
dia_semana,23856.0,3.0,2.000041919493617,0.0,1.0,3.0,5.0,6.0,0,0.0
mes,23856.0,6.082494969818914,3.3080736833420605,1.0,3.0,6.0,9.0,12.0,0,0.0
trimestre,23856.0,2.365191146881288,1.0711524758058852,1.0,1.0,2.0,3.0,4.0,0,0.0
año,23856.0,2023.897384305835,0.7882174871108776,2023.0,2023.0,2024.0,2025.0,2025.0,0,0.0
es_festivo,23856.0,0.023138832997987926,0.1503475139124021,0.0,0.0,0.0,0.0,1.0,0,0.0
es_finde,23856.0,0.2857142857142857,0.45176342010106785,0.0,0.0,0.0,1.0,1.0,0,0.0
es_laboral,23856.0,0.7142857142857143,0.45176342010106785,0.0,0.0,1.0,1.0,1.0,0,0.0
es_hora_pico_mañana,23856.0,0.125,0.33072584566777363,0.0,0.0,0.0,0.0,1.0,0,0.0
es_hora_pico_tarde,23856.0,0.125,0.33072584566777363,0.0,0.0,0.0,0.0,1.0,0,0.0
lag_1h,23855.0,28359.067952211277,4519.7713319115655,12562.666666666666,24648.125,28381.5,31695.791666666664,42126.0,1,0.0
lag_24h,23832.0,28359.284522910373,4521.393719588607,12562.666666666666,24644.458333333332,28381.041666666664,31697.666666666668,42126.0,24,0.1
lag_48h,23808.0,28355.604012656808,4520.86061416344,12562.666666666666,24642.5,28377.333333333336,31692.6875,42126.0,48,0.2
lag_168h,23688.0,28344.649924715748,4517.2981028357235,12562.666666666666,24631.916666666668,28366.583333333336,31673.1875,42126.0,168,0.7
media_movil_6h,23851.0,28359.74236579878,4066.8047091329645,13831.569444444443,25197.125,28301.472222222223,31238.833333333336,39790.041666666664,5,0.02
std_movil_6h,23851.0,1801.6911153403403,1189.9034786223367,64.13609116994728,816.6666308528418,1558.9805914420617,2610.9077394950536,7475.085217401345,5,0.02
media_movil_12h,23845.0,28360.821231739705,3462.891891925504,16990.763888888887,25973.38194444444,28209.13888888889,30633.88888888889,39355.48611111112,11,0.05
std_movil_12h,23845.0,2762.8665283291593,1247.2894524099202,314.89132750382635,1730.6067918511774,2753.392334263136,3648.505908371659,7151.789358411618,11,0.05
media_movil_24h,23833.0,28362.855197712557,2926.3677419012997,20481.0,26434.746527777777,28330.190972222223,30470.32986111111,35918.930555555555,23,0.1
std_movil_24h,23833.0,3435.0943296638966,746.8755435452297,1555.7002115931418,2878.305170333968,3376.7500693841716,3929.718699711768,6390.612351441885,23,0.1
media_movil_48h,23809.0,28364.640711626907,2714.318435290269,20901.869791666668,26506.54861111111,28270.980902777777,30267.94965277778,35829.70659722222,47,0.2
std_movil_48h,23809.0,3583.333359175165,681.7308569196446,1889.7557381765332,3076.5171155311054,3530.1095761049405,4045.062386758272,5975.275154703768,47,0.2
media_movil_168h,23689.0,28360.173447386507,2105.148808929191,22757.373511904763,26716.467757936505,28225.083829365078,29951.229662698417,33969.68303571428,167,0.7
std_movil_168h,23689.0,3963.0103409898616,579.5600870954045,2925.7596760765687,3484.7691782121474,3887.199697180848,4371.840445891677,5971.062508811352,167,0.7
price,23856.0,136.4356044600939,57.01450261080785,16.84,95.785,136.41,172.14749999999998,423.15,0,0.0
