feature,importance,rf_rank,mi_score,mi_rank,combined_rank
lag_1h,0.9079014302728209,1,1.3593175915236007,1,1.0
lag_168h,0.030738645335325877,3,0.9586807625145966,2,2.5
lag_24h,0.004188592860196641,6,0.8232694244560976,3,4.5
hora_del_dia,0.00624448890679528,4,0.3771932905984947,6,5.0
hora_del_dia_cos,0.032811116083982204,2,0.12781918394848324,17,9.5
media_movil_12h,0.0002377919296638975,14,0.418253662482285,5,9.5
media_movil_24h,0.0004548234849928515,12,0.37685510606125394,7,9.5
media_movil_6h,0.00019575527750358387,16,0.6797416556524025,4,10.0
hora_del_dia_sin,0.0037134513815688954,7,0.1906881667190894,13,10.0
lag_48h,0.00026965973364240263,13,0.35136362197318416,8,10.5
price,0.0001712505456809342,17,0.23227699822017644,9,13.0
std_movil_24h,0.0002130084626833098,15,0.2102806512526234,12,13.5
std_movil_12h,0.002795424858657471,8,0.10850808480781282,20,14.0
std_movil_6h,0.002329805332316902,9,0.10531872454605118,21,15.0
media_movil_168h,6.996329689057017e-05,22,0.21589142679008333,11,16.5
es_hora_pico_tarde,0.0011731334136641665,10,0.043094448923432394,25,17.5
mes,0.00010423048144960272,19,0.13287768550225731,16,17.5
es_hora_pico_mañana,0.0052264253718385,5,0.005516541207579717,31,18.0
media_movil_48h,2.5696093545610964e-05,27,0.231323254557406,10,18.5
dia_semana,0.0001198039086790217,18,0.11431719279199193,19,18.5
dia_semana_sin,8.140269107497378e-05,20,0.11433240339302841,18,19.0
mes_cos,0.0005907558291042796,11,0.02827805165460262,28,19.5
std_movil_48h,3.9383797153249455e-05,26,0.1724531581462534,14,20.0
std_movil_168h,2.3418810146170874e-05,28,0.1423072386283728,15,21.5
es_finde,6.903920323152165e-05,23,0.09785124164702186,23,23.0
es_laboral,6.392280506672666e-05,24,0.09785124164702186,22,23.0
mes_sin,7.331385197018133e-05,21,0.030381951953433628,27,24.0
trimestre,6.321840000781732e-05,25,0.06917708785273513,24,24.5
dia_semana_cos,5.949590499684283e-06,29,0.03598468849281433,26,27.5
es_festivo,5.097989846569601e-06,30,0.010530441659046152,30,30.0
año,0.0,31,0.012624165525363384,29,30.0
