feature,importance
lag_1h,0.2258454719128861
lag_168h,0.17253252328448926
lag_24h,0.11872008407507244
media_movil_6h,0.10857927309627953
hora_del_dia,0.07610947125428727
lag_48h,0.04696812376934036
media_movil_24h,0.042899861978633644
media_movil_12h,0.039750829565007216
price,0.029010311139490576
hora_del_dia_cos,0.026351654088882785
hora_del_dia_sin,0.02068817146325795
dia_semana,0.013799555294051769
std_movil_6h,0.012480018115442096
es_finde,0.010875394814644413
media_movil_48h,0.010840447867481057
dia_semana_sin,0.009187015037232533
std_movil_12h,0.006797286200316175
std_movil_24h,0.0063751883886977116
media_movil_168h,0.004107430169549949
std_movil_168h,0.0034791387512791154
dia_semana_cos,0.002826590341126435
std_movil_48h,0.0026516480283051307
es_hora_pico_mañana,0.002417957401465342
es_hora_pico_tarde,0.0019839352282015666
es_festivo,0.0018568873529159532
mes,0.0012137217064927897
mes_cos,0.0009479423628336706
mes_sin,0.0005745383282577217
año,0.0001295289840794314
